Number,Identifier,English Name,Alternative name / Notes,Testament
1,GEN,Genesis,‘1 Moses’ in some Bibles,OT
2,EXO,Exodus,‘2 Moses’ in some Bibles,OT
3,LEV,Leviticus,‘3 Moses’ in some Bibles,OT
4,NUM,Numbers,‘4 Moses’ in some Bibles,OT
5,DEU,Deuteronomy,‘5 Moses’ in some Bibles,OT
6,JOS,Joshua,,OT
7,JDG,Judges,,OT
8,RUT,Ruth,,OT
9,1SA,1 Samuel,"1 Kings or Kingdoms in Orthodox Bibles;
do not confuse this abbreviation with
ISA for Isaiah",OT
10,2SA,2 Samuel,2 Kings or Kingdoms in Orthodox Bibles,OT
11,1KI,1 Kings,3 Kings or Kingdoms in Orthodox Bibles,OT
12,2KI,2 Kings,4 Kings or Kingdoms in Orthodox Bibles,OT
13,1CH,1 Chronicles,1 Paralipomenon in Orthodox Bibles,OT
14,2CH,2 Chronicles,2 Paralipomenon in Orthodox Bibles,OT
15,EZR,Ezra,"This is for Hebrew Ezra, sometimes called
1 Ezra or 1 Esdras; also for Ezra-Nehemiah
when one book",OT
16,NEH,Nehemiah,"Sometimes appended to Ezra; called
2 Esdras in the Vulgate",OT
17,EST,Esther (Hebrew),"This is for Hebrew Esther; for the longer
Greek LXX Esther use ESG",OT
18,JOB,Job,,OT
19,PSA,Psalms,"150 Psalms in Hebrew, 151 Psalms in
Orthodox Bibles, 155 Psalms in West
Syriac Bibles, if you put Psalm 151
separately in an Apocrypha use PS2,
for Psalms 152-155 use PS3",OT
20,PRO,Proverbs,"31 Proverbs, but 24 Proverbs in the
Ethiopian Bible",OT
21,ECC,Ecclesiastes,"Qoholeth in Catholic Bibles; for
Ecclesiasticus use SIR",OT
22,SNG,Song of Songs,"Song of Solomon, or Canticles of Canticles in
Catholic Bibles",OT
23,ISA,Isaiah,"Do not confuse this abbreviation with 1SA
for 1 Samuel",OT
24,JER,Jeremiah,"The Book of Jeremiah; for the Letter of
Jeremiah use LJE",OT
25,LAM,Lamentations,The Lamentations of Jeremiah,OT
26,EZK,Ezekiel,,OT
27,DAN,Daniel (Hebrew),"This is for Hebrew Daniel; for the longer
Greek LXX Daniel use DAG",OT
28,HOS,Hosea,,OT
29,JOL,Joel,,OT
30,AMO,Amos,,OT
31,OBA,Obadiah,,OT
32,JON,Jonah,"Do not confuse this abbreviation with JHN
for John",OT
33,MIC,Micah,,OT
34,NAM,Nahum,,OT
35,HAB,Habakkuk,,OT
36,ZEP,Zephaniah,,OT
37,HAG,Haggai,,OT
38,ZEC,Zechariah,,OT
39,MAL,Malachi,,OT
41,MAT,Matthew,The Gospel according to Matthew,NT
42,MRK,Mark,The Gospel according to Mark,NT
43,LUK,Luke,The Gospel according to Luke,NT
44,JHN,John,The Gospel according to John,NT
45,ACT,Acts,The Acts of the Apostles,NT
46,ROM,Romans,The Letter of Paul to the Romans,NT
47,1CO,1 Corinthians,The First Letter of Paul to the Corinthians,NT
48,2CO,2 Corinthians,The Second Letter of Paul to the Corinthians,NT
49,GAL,Galatians,The Letter of Paul to the Galatians,NT
50,EPH,Ephesians,The Letter of Paul to the Ephesians,NT
51,PHP,Philippians,The Letter of Paul to the Philippians,NT
52,COL,Colossians,The Letter of Paul to the Colossians,NT
53,1TH,1 Thessalonians,The First Letter of Paul to the Thessalonians,NT
54,2TH,2 Thessalonians,"The Second Letter of Paul to the
Thessalonians",NT
55,1TI,1 Timothy,The First Letter of Paul to Timothy,NT
56,2TI,2 Timothy,The Second Letter of Paul to Timothy,NT
57,TIT,Titus,The Letter of Paul to Titus,NT
58,PHM,Philemon,The Letter of Paul to Philemon,NT
59,HEB,Hebrews,The Letter to the Hebrews,NT
60,JAS,James,The Letter of James,NT
61,1PE,1 Peter,The First Letter of Peter,NT
62,2PE,2 Peter,The Second Letter of Peter,NT
63,1JN,1 John,The First Letter of John,NT
64,2JN,2 John,The Second Letter of John,NT
65,3JN,3 John,The Third Letter of John,NT
66,JUD,Jude,"The Letter of Jude; do not confuse this
abbreviation with JDG for Judges, or
JDT for Judith",NT
67,REV,Revelation,"The Revelation to John; called Apocalypse in
Catholic Bibles",NT
68,TOB,Tobit,,DC
69,JDT,Judith,,DC
70,ESG,Esther Greek,,DC
71,WIS,Wisdom of Solomon,,DC
72,SIR,Sirach,Ecclesiasticus or Jesus son of Sirach,DC
73,BAR,Baruch,"5 chapters in Orthodox Bibles (LJE is
separate); 6 chapters in Catholic Bibles
(includes LJE); called 1 Baruch in Syriac
Bibles",DC
74,LJE,Letter of Jeremiah,"Sometimes included in Baruch; called ‘Rest
of Jeremiah’ in Ethiopia",DC
75,S3Y,Song of the 3 Young Men,"Includes the Prayer of Azariah; sometimes
included in Greek Daniel",DC
76,SUS,Susanna,Sometimes included in Greek Daniel,DC
77,BEL,Bel and the Dragon,"Sometimes included in Greek Daniel; called
‘Rest of Daniel’ in Ethiopia",DC
78,1MA,1 Maccabees,"Called ‘3 Maccabees’ in some traditions,
printed in Catholic and Orthodox Bibles",DC
79,2MA,2 Maccabees,"Called ‘1 Maccabees’ in some traditions,
printed in Catholic and Orthodox Bibles",DC
80,3MA,3 Maccabees,"Called ‘2 Maccabees’ in some traditions,
printed in Orthodox Bibles",DC
81,4MA,4 Maccabees,"In an appendix to the Greek Bible and in the
Georgian Bible",DC
82,1ES,1 Esdras (Greek),"The 9 chapter book of Greek Ezra in the LXX,
called ‘2 Esdras’ in Russian Bibles,
and called ‘3 Esdras’ in the Vulgate;
when Ezra-Nehemiah is one book use EZR",DC
83,2ES,2 Esdras (Latin),"The 16 chapter book of Latin Esdras called
‘3 Esdras’ in Russian Bibles and called
‘4 Esdras’ in the Vulgate; for the 12 chapter
Apocalypse of Ezra use EZA",DC
84,MAN,Prayer of Manasseh,"Sometimes appended to 2 Chronicles,
included in Orthodox Bibles",DC
85,PS2,Psalm 151,"An additional Psalm in the Septuagint,
appended to Psalms in Orthodox Bibles",DC
86,ODA,Odae/Odes,"A book in some editions of the Septuagint;
Odes has different contents in Greek,
Russian, and Syriac traditions",DC
87,PSS,Psalms of Solomon,"A book in some editions of the Septuagint,
but not printed in modern Bibles",DC
A4,EZA,Ezra Apocalypse,"12 chapter book of Ezra Apocalypse; called
‘3 Ezra’ in the Armenian Bible, called
‘Ezra Shealtiel’ in the Ethiopian Bible;
formerly called 4ES; called ‘2 Esdras’ when
it includes 5 Ezra and 6 Ezra",DC
A5,5EZ,5 Ezra,"2 chapter Latin preface to Ezra Apocalypse;
formerly called 5ES",DC
A6,6EZ,6 Ezra,"2 chapter Latin conclusion to Ezra
Apocalypse; formerly called 6ES",DC
B2,DAG,Daniel Greek,"The 14 chapter version of Daniel from the
Septuagint including Greek additions",DC
B3,PS3,Psalms 152-155,"Additional Psalms 152-155 found in West
Syriac manuscripts",DC
B4,2BA,2 Baruch (Apocalypse),The Apocalypse of Baruch in Syriac Bibles,DC
B5,LBA,Letter of Baruch,"Sometimes appended to 2 Baruch;
sometimes separate in Syriac Bibles",DC
